folder_name,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127
Ary,-0.0017254955600947142,-0.13664007186889648,-0.09546548128128052,0.01260708924382925,-0.07835777848958969,0.0017766141099855304,-0.09702005237340927,0.135026216506958,0.06454645097255707,-0.08453794568777084,0.11157982796430588,-0.018236303701996803,-0.0813712552189827,-0.039224717766046524,0.09875365346670151,-0.13782650232315063,-0.06316103041172028,0.0729408785700798,-0.0802321806550026,-0.155214324593544,-0.016674339771270752,-0.10474055260419846,-0.016432255506515503,-0.04298681393265724,-0.036060743033885956,-0.0014460894744843245,-0.10179906338453293,0.1521705836057663,-0.031116316094994545,0.12904179096221924,-0.0794890746474266,-0.022564608603715897,-0.014170392416417599,0.11010751873254776,-0.03423061594367027,-0.009582899510860443,0.10304714739322662,0.16127319633960724,-0.07868725061416626,-0.07237450778484344,0.12628987431526184,-0.18216098845005035,0.058951087296009064,-0.04302554205060005,0.03331366181373596,0.1059350073337555,0.06350579112768173,-0.0981619730591774,0.036662302911281586,-0.083539679646492,0.10518438369035721,-0.13519762456417084,0.06966206431388855,-0.01767703890800476,0.0314701683819294,-0.07231807708740234,-0.04081602767109871,-0.04784718155860901,0.07759065181016922,0.046913355588912964,0.07079293578863144,-0.10354120284318924,0.1342010349035263,-0.03915933519601822,-0.08204761147499084,-0.09783344715833664,-0.15995611250400543,-0.026169609278440475,0.1075139194726944,0.090920090675354,0.1233910620212555,0.10803072154521942,-0.07744999974966049,-0.023200849071145058,0.013457253575325012,0.07014091312885284,0.1244969293475151,0.11746247112751007,-0.17539836466312408,0.090951107442379,-0.049301039427518845,-0.07072541862726212,-0.03899770602583885,0.055186059325933456,-0.09743322432041168,0.028295472264289856,-0.013170107267796993,0.03994860127568245,-0.12008850276470184,-0.06718629598617554,-0.16244156658649445,0.10454333573579788,0.13430947065353394,-0.028579488396644592,-0.13810797035694122,0.06968454271554947,0.13308589160442352,0.00027910503558814526,0.10889492183923721,-0.10261154174804688,0.012617974542081356,-0.03495624288916588,-0.11772315949201584,0.08530134707689285,0.016889508813619614,0.11852944642305374,0.15207670629024506,0.08414783328771591,0.033148206770420074,0.15069550275802612,0.07713928073644638,0.023612534627318382,0.11880955845117569,-0.023114340379834175,-0.12149032950401306,-0.023020852357149124,0.039181992411613464,0.06265538185834885,0.13850176334381104,0.07011279463768005,0.026132965460419655,0.06830491870641708,0.006478560622781515,-0.06460535526275635,-0.09388796240091324,0.09327814728021622,0.07912736386060715,-0.059156980365514755
Dak,0.03554300591349602,-0.010874476283788681,-0.005234818905591965,-0.019386544823646545,0.044278521090745926,0.12993529438972473,0.004144496284425259,0.026661772280931473,0.07925382256507874,0.003756194841116667,-0.04189261049032211,-0.08291489630937576,0.017753593623638153,-0.10617262870073318,-0.0018100106390193105,0.004827678669244051,-0.0019526316318660975,0.15144366025924683,0.08202046900987625,0.0033606477081775665,0.007014828268438578,-0.020713429898023605,-0.1721975952386856,-0.14386600255966187,0.17644265294075012,0.05134909227490425,-0.16135191917419434,0.1360938400030136,0.0433393232524395,0.13358911871910095,-0.15722793340682983,0.021297894418239594,0.08476106822490692,0.07486994564533234,0.01201755553483963,0.04933333769440651,-0.026517635211348534,0.07264163345098495,-0.10712842643260956,-0.011115821078419685,-0.021076658740639687,-0.07206574082374573,-0.0824391096830368,0.05708868056535721,-0.05269373208284378,0.016003143042325974,-0.09219693392515182,0.07006219774484634,-0.11353923380374908,-0.01063322089612484,0.12018675357103348,-0.09936314821243286,0.011767433024942875,0.12464198470115662,-0.003544005798175931,0.021015848964452744,-0.048328667879104614,-0.11347685754299164,0.13557198643684387,-0.06677568703889847,0.06375933438539505,-0.040703460574150085,0.11488256603479385,-0.019755102694034576,0.04782719537615776,-0.0959848091006279,-0.04868566244840622,0.12792091071605682,0.18172304332256317,-0.037172649055719376,0.059044383466243744,-0.026475338265299797,-0.023685237392783165,-0.04990871250629425,-0.11973290145397186,-0.1489366590976715,0.1225162222981453,-0.034402236342430115,-0.08616294711828232,0.17237496376037598,-0.16241739690303802,-0.1162412166595459,0.06753086298704147,0.0872320607304573,-0.03890195116400719,0.05042905732989311,-0.12295744568109512,0.12064697593450546,-0.05895783752202988,-0.08325240015983582,0.060977283865213394,-0.0663200244307518,-0.04065429046750069,0.04043374955654144,-0.002633878495544195,-0.048986248672008514,0.1641729325056076,0.06831172853708267,0.0619693249464035,0.04701808840036392,0.0725884661078453,0.005428631789982319,-0.0922565683722496,0.15444369614124298,0.1288241297006607,0.08333994448184967,0.1470773071050644,-0.058095403015613556,0.07668986171483994,0.10422246158123016,0.07451745867729187,-0.06163478642702103,0.15379710495471954,-0.1178639829158783,-0.07973498851060867,-0.08121918141841888,-0.02714412286877632,0.07338647544384003,0.08583029359579086,-0.14300265908241272,-0.0824999213218689,-0.10453637689352036,-0.07858860492706299,-0.12136241793632507,0.009899750351905823,-0.061088308691978455,0.09856315702199936,0.1189294382929802
Kar,-0.001245478168129921,0.006791240535676479,-0.08804983645677567,0.043802790343761444,0.12369938939809799,0.0801704078912735,-0.038344986736774445,-0.05705932155251503,-0.03465567156672478,0.10829760134220123,0.058840226382017136,0.05177835002541542,-0.004922474734485149,-0.12371733039617538,0.09554042667150497,-0.06752488762140274,0.01206167321652174,0.16584530472755432,-0.10573436319828033,-0.09950579702854156,0.12904448807239532,0.02336799167096615,-0.19762089848518372,-0.08094855397939682,0.18205979466438293,-0.05676421523094177,-0.015523595735430717,0.0749322846531868,0.10559625178575516,-0.0682656317949295,-0.15047059953212738,0.07142865657806396,0.04725915938615799,0.0515061654150486,0.08349160104990005,-0.13100582361221313,0.06751714646816254,-0.006960240192711353,0.035688240081071854,-0.07369420677423477,0.08478567749261856,-0.03714463859796524,0.03448237478733063,-0.024869894608855247,-0.08373483270406723,0.020634185522794724,0.09098135679960251,-0.028359007090330124,0.0037407614290714264,-0.14344508945941925,0.10653097182512283,-0.15063565969467163,-0.018794214352965355,-0.09561620652675629,-0.047698818147182465,-0.09433099627494812,0.04853331297636032,-0.014363041147589684,-0.005734710488468409,-0.07358920574188232,-0.06143595650792122,-0.050050392746925354,0.18930886685848236,0.06813990324735641,0.0069992560893297195,-0.06025736778974533,-0.11703707277774811,-0.0732957124710083,0.17102773487567902,0.002441088669002056,-0.024362457916140556,0.1376873105764389,-0.1337413340806961,-0.06852719932794571,0.08454881608486176,-0.013856022618710995,-0.04388553276658058,-0.06670157611370087,-0.16127976775169373,0.09120085835456848,-0.049974676221609116,0.11817073076963425,0.0169400405138731,0.08302227407693863,-0.04580960422754288,0.0757184699177742,0.0647716224193573,0.10258585959672928,-0.11075598001480103,-0.1833943873643875,-0.033184487372636795,0.08413460105657578,0.09570635110139847,0.1330689787864685,-0.04475123807787895,0.0002917993115261197,0.06294773519039154,0.08815678209066391,0.15927284955978394,-0.11801373213529587,0.038133393973112106,-0.061368368566036224,-0.06302402168512344,-0.02484043315052986,0.09180937707424164,0.07642312347888947,0.16309909522533417,0.14191412925720215,-0.02723408304154873,0.053207527846097946,0.016493530943989754,0.03874855861067772,0.07635771483182907,-0.09615766257047653,-0.01725475676357746,-0.020689545199275017,-0.06372325122356415,0.13444475829601288,0.1600317358970642,-0.020580675452947617,-0.05597423389554024,0.09265449643135071,0.04017134755849838,-0.04628285393118858,0.02638266608119011,-0.11707022041082382,0.16740596294403076,0.02702428586781025
Laiba,0.005628595128655434,-0.10007927566766739,-0.05720778927206993,0.12529698014259338,0.09122548252344131,-0.05438315495848656,-0.11527033895254135,-0.07334806770086288,-0.0590461902320385,0.11313734203577042,-0.08578210324048996,-0.025942597538232803,0.08627680689096451,-0.05972736328840256,0.11842682212591171,-0.05185221880674362,0.009954837150871754,0.0253620408475399,-0.016982750967144966,0.07372572273015976,0.07791699469089508,-0.04179713875055313,-0.12172187119722366,-0.14464545249938965,0.09414505213499069,-0.14612576365470886,-0.14444701373577118,0.17783904075622559,0.10625464469194412,-0.037167374044656754,-0.09965204447507858,0.06277202814817429,0.0853496715426445,0.10887056589126587,-0.002897752681747079,0.007138219196349382,0.014958812855184078,0.07773970067501068,-0.06978011876344681,0.06400635093450546,0.13735297322273254,0.003777824342250824,0.027640484273433685,0.12405885010957718,-0.06119798496365547,0.1020311787724495,0.07359477877616882,-0.1548042744398117,0.00011560834536794573,-0.07297974079847336,0.07375344634056091,-0.025032376870512962,-0.005368388723582029,0.008386177010834217,0.06492212414741516,-0.021221274510025978,0.08986880630254745,-0.022922469303011894,0.08140959590673447,0.029674477875232697,0.05774903669953346,0.027665819972753525,0.14121021330356598,-0.03998669236898422,-0.08865423500537872,-0.05822884291410446,-0.1940842568874359,-0.06195967271924019,0.08704344183206558,0.08148599416017532,0.100824274122715,0.01858694478869438,0.014321906492114067,0.02461251989006996,-0.050108347088098526,-0.11183416843414307,0.11050456017255783,0.07100367546081543,-0.08434776216745377,0.1333944946527481,-0.14080457389354706,0.1214386373758316,-0.03815167769789696,0.06118130683898926,0.08789779245853424,0.020440520718693733,-0.11029917001724243,0.17269675433635712,0.03649023547768593,-0.09908519685268402,0.023966755717992783,-0.057119667530059814,-0.06681995838880539,0.08103825896978378,-0.015456942841410637,0.03802793100476265,-0.015447750687599182,-0.03128429129719734,0.011062441393733025,-0.12418587505817413,-0.019570564851164818,-0.15086886286735535,-0.12257470190525055,0.11704034358263016,0.20621061325073242,0.09770990163087845,0.0788315162062645,0.010965073481202126,-0.06911514699459076,0.020947227254509926,0.029846765100955963,-0.03952963650226593,0.11863820999860764,-0.08427917212247849,0.0049285381101071835,-0.16922630369663239,-0.13207657635211945,0.1844167560338974,0.10214407742023468,-0.11259576678276062,-0.13477064669132233,-0.06316743791103363,-0.0759635791182518,-0.11526768654584885,-0.04334454983472824,0.01801467128098011,-0.048676613718271255,0.028898922726511955
Madhav,0.027044445276260376,0.01874873973429203,-0.0753898099064827,-0.027294540777802467,-0.014676227234303951,0.15431728959083557,-0.038786761462688446,0.10933425277471542,-0.06413054466247559,0.11246801167726517,-0.07529240846633911,0.09697256982326508,0.01320059783756733,-0.1075005829334259,0.1887124627828598,-0.14423097670078278,-0.01243640761822462,0.1593630611896515,-0.1385210007429123,-0.1521228402853012,0.018273230642080307,0.03193384408950806,-0.09482154250144958,-0.15599392354488373,0.055265527218580246,0.05497950688004494,-0.10175935178995132,-0.008517165668308735,0.044585760682821274,-0.0002523274451959878,-0.0516667403280735,0.017720317468047142,0.12833872437477112,0.1406804770231247,0.12416739016771317,-0.10005505383014679,0.12380722910165787,0.05095907673239708,-0.07278376072645187,0.013951919972896576,-0.03662849962711334,-0.07718721777200699,0.10207510739564896,-0.023125721141695976,-0.06773301959037781,0.06798604875802994,-0.05439019203186035,0.03887422755360603,-0.04392656311392784,-0.12807105481624603,-0.010846198536455631,0.00583235640078783,-0.00880252756178379,0.06335451453924179,0.12977361679077148,-0.11468641459941864,-0.14854773879051208,-0.1166452169418335,0.10282034426927567,-0.058313775807619095,0.05463431030511856,0.054054539650678635,0.014447596855461597,0.0013233901700004935,0.0018801008118316531,-0.08299140632152557,-0.1519349366426468,0.07226449251174927,0.13861671090126038,0.04935091733932495,0.006556796375662088,-0.047852177172899246,-0.1829899549484253,0.08999809622764587,0.02846185490489006,0.015058634802699089,0.02064909227192402,0.07630375772714615,-0.05958961695432663,0.17201998829841614,-0.15374808013439178,-0.05477599799633026,0.019559694454073906,0.07243958115577698,-0.09498867392539978,-0.03396358713507652,-0.09435305744409561,0.003947376739233732,-0.04083815962076187,-0.1593395620584488,-0.04924938827753067,0.03646894544363022,-0.010888726450502872,0.10839599370956421,-0.10694381594657898,0.1318441480398178,0.1572418063879013,0.05093700438737869,0.13322511315345764,-0.14927376806735992,0.10230657458305359,0.005176706239581108,-0.057336512953042984,-0.056622494012117386,0.12417931109666824,0.11964219808578491,0.05503338202834129,0.011559606529772282,-0.09937624633312225,0.058424804359674454,0.04906283691525459,0.006468836218118668,-0.02880801633000374,0.013441655784845352,-0.14678823947906494,-0.02335548773407936,0.08267414569854736,0.15830709040164948,0.0075528002344071865,0.048670850694179535,-0.15962709486484528,0.03401019424200058,-0.060795243829488754,0.016374733299016953,-0.11214663833379745,-0.048746444284915924,0.03303070738911629,0.06717855483293533
Nan,0.00793988537043333,-0.17489896714687347,0.0024458346888422966,0.09516645967960358,0.01221613958477974,0.035271450877189636,-0.031654056161642075,0.09436985105276108,0.029172874987125397,-0.016231942921876907,0.05481991916894913,0.08781259506940842,0.07183871418237686,0.07211818546056747,0.020634885877370834,-0.09042321890592575,-0.0007311560912057757,0.13980744779109955,-0.03600340709090233,0.04277815669775009,-0.05777527019381523,0.09986061602830887,-0.003907231148332357,-0.07344835996627808,0.05203338712453842,-0.06896765530109406,-0.024449845775961876,-0.045193299651145935,0.04863257706165314,0.011230948381125927,-0.10904564708471298,0.00974541250616312,-0.04796537756919861,0.12764614820480347,0.021203691139817238,-0.006421815603971481,0.0021663401275873184,0.09505606442689896,-0.09445924311876297,-0.08257382363080978,0.04294402897357941,-0.09028938412666321,0.08271394670009613,0.0665549486875534,0.09991776943206787,0.10299188643693924,-0.08450441807508469,-0.02829313836991787,-0.13061940670013428,-0.10562659800052643,-0.06075677275657654,0.020445341244339943,-0.08087149262428284,0.15617474913597107,0.11206386983394623,-0.13772419095039368,-0.034581467509269714,0.023458857089281082,0.1278935819864273,0.11744467914104462,0.14547096192836761,-0.03578857332468033,0.012331346981227398,-0.04654933512210846,-0.1320934146642685,-0.01708242855966091,-0.12737978994846344,0.10119873285293579,0.13039842247962952,0.07138637453317642,0.06759779900312424,-0.032795362174510956,-0.0603116974234581,0.1340809017419815,-0.08424270153045654,-0.08675403892993927,0.14104974269866943,-0.02083839662373066,-0.10244879126548767,0.07024040818214417,-0.14582350850105286,0.026620525866746902,0.1226709634065628,0.1375393569469452,-0.10995945334434509,-0.06936075538396835,-0.1058504581451416,0.10881077498197556,-0.013233598321676254,-0.14499858021736145,0.0008990523056127131,0.12911228835582733,-0.10821283608675003,-0.015255752019584179,-0.08432643860578537,0.11523847281932831,0.12869371473789215,0.0817316472530365,0.023105597123503685,-0.014064475893974304,-0.10600874572992325,-0.010709469206631184,-0.16182945668697357,0.13299867510795593,0.05739593505859375,-0.01748223789036274,0.056711286306381226,0.020201895385980606,-0.03206632286310196,0.07983241975307465,0.13877469301223755,-0.0932442918419838,0.05533440783619881,0.01593506522476673,-0.08990132063627243,-0.07134285569190979,-0.00024713348830118775,0.18907929956912994,0.1964653879404068,-0.11450061947107315,-0.1193709746003151,-0.051153481006622314,-0.02562822215259075,-0.18605689704418182,-0.09942226856946945,0.053647395223379135,0.007606231141835451,0.07985588908195496
Nup,-0.08135093003511429,-0.11348126828670502,-0.10778237879276276,0.07600494474172592,0.08069464564323425,0.04517834633588791,-0.08092579245567322,0.06724470853805542,-0.0200023390352726,-0.03961307927966118,0.06403262168169022,0.027310620993375778,0.13040730357170105,-0.07010749727487564,0.026267070323228836,-0.19317269325256348,-0.006309422664344311,0.004906896501779556,0.008028012700378895,-0.02998313307762146,0.019615376368165016,-0.04341239109635353,-0.05284211039543152,0.010407618246972561,-0.010045076720416546,-0.06950551271438599,-0.01612553745508194,0.08422691375017166,0.04413850978016853,-0.016848856583237648,-0.10276015847921371,-0.032242968678474426,-0.04389360919594765,0.11187143623828888,0.02602899633347988,-0.13307049870491028,0.14412344992160797,0.10559256374835968,0.09081114083528519,-0.1426820009946823,0.07906217873096466,-0.034690070897340775,-0.01681596226990223,0.09164010733366013,0.0054515958763659,0.0672893300652504,0.01393843162804842,0.0082932747900486,-0.08602580428123474,-0.08317344635725021,-0.11214844882488251,0.02251383475959301,-0.13626016676425934,-0.09923181682825089,0.06074374541640282,-0.16606886684894562,0.02753327414393425,-0.021176118403673172,-0.035730961710214615,0.1280450075864792,0.08874139934778214,-0.12103153765201569,0.07764717936515808,0.1521126925945282,-0.13030490279197693,-0.0051537128165364265,-0.19092951714992523,-0.10869032144546509,0.027385663241147995,0.14832627773284912,0.008450645953416824,-0.007472769822925329,-0.07622876018285751,0.09196072071790695,0.04670264199376106,0.0487915575504303,-0.038648784160614014,0.11678146570920944,-0.04805288091301918,0.027186110615730286,0.004885501228272915,0.021644555032253265,0.09797843545675278,0.1407288759946823,0.01733570732176304,-0.09407804906368256,-0.006684072315692902,0.13073812425136566,-0.11770112812519073,-0.060610175132751465,-0.09333808720111847,-0.016579944640398026,-0.0555153526365757,0.13640625774860382,-0.10668355971574783,0.02795441448688507,0.02784552052617073,0.1478157788515091,0.09204680472612381,-0.12429877370595932,-0.08139513432979584,-0.09649588167667389,-0.15093840658664703,-0.012166767381131649,-0.0007895680028013885,0.03510766848921776,0.1356537938117981,0.03884764015674591,-0.09277422726154327,0.13241371512413025,0.06929169595241547,-0.05249420925974846,0.15088824927806854,-0.1070571318268776,-0.15528957545757294,-0.11500482261180878,-0.08540565520524979,0.12185100466012955,0.024968616664409637,0.1339130699634552,-0.16743777692317963,0.02762887068092823,-0.014348002150654793,-0.11716160923242569,-0.10281398147344589,-0.10775373876094818,0.09407753497362137,0.06683971732854843
Oom,-0.1489524096250534,-0.11246262490749359,-0.1306057721376419,0.028585901483893394,0.10811202228069305,0.0625869408249855,-0.11356604099273682,0.1153065487742424,0.12815295159816742,-0.046290989965200424,-0.03138767182826996,-0.0952363982796669,0.09073402732610703,-0.0686364397406578,0.04932150989770889,-0.02912517823278904,-0.06620115041732788,0.14733938872814178,-0.1479124128818512,-0.051341939717531204,-0.03841347247362137,-0.15218836069107056,-0.024709971621632576,-0.15034928917884827,0.08408285677433014,-0.07019015401601791,-0.07169851660728455,0.04129193350672722,0.043022844940423965,-0.06789230555295944,-0.09441021084785461,-0.11575485020875931,0.11392594873905182,0.15854373574256897,0.033743493258953094,-0.16089391708374023,0.08679232001304626,0.1399465948343277,0.05581773445010185,-0.1257895529270172,-0.0017228430369868875,-0.15387846529483795,0.015335465781390667,-0.030102498829364777,-0.008826207369565964,0.15515948832035065,-0.07183684408664703,-0.048222076147794724,0.04172057285904884,-0.040266308933496475,0.017538290470838547,-0.07637614756822586,0.059929169714450836,-0.038172703236341476,0.03501129522919655,-0.15081803500652313,-0.03883625194430351,-0.10339947789907455,0.05777338892221451,0.024133848026394844,0.0007052688160911202,-0.08979783207178116,-0.03454609960317612,0.016324937343597412,-0.08451494574546814,0.051764100790023804,-0.11798596382141113,0.0771542638540268,0.10809134691953659,0.12737613916397095,-0.009467869065701962,0.004203558899462223,-0.07376551628112793,0.01868230290710926,-0.11578916758298874,-0.1057928279042244,0.04384080320596695,-0.0434824675321579,-0.07645346224308014,0.04385300353169441,-0.10978894680738449,0.014231126755475998,0.11042649298906326,0.12239500880241394,-0.07085031270980835,0.0854518786072731,-0.030701616778969765,-0.004034778568893671,-0.12201376259326935,-0.1351158767938614,0.06405095010995865,0.049442093819379807,-0.05227537453174591,0.0325407013297081,-0.1375647932291031,0.009713084436953068,0.14961561560630798,0.05714934319257736,0.06595233827829361,-0.08225943148136139,0.01869051530957222,-0.07959692925214767,-0.1198749840259552,0.05602116882801056,0.20251893997192383,-0.011333012953400612,0.030496768653392792,0.10355348885059357,0.11605699360370636,0.03383198752999306,-0.08020895719528198,-0.05948958173394203,0.024181600660085678,0.01569284312427044,0.08263279497623444,-0.18013206124305725,0.013397281989455223,0.08082666993141174,0.16363756358623505,0.02201099693775177,-0.08333228528499603,0.0760568380355835,0.06965536624193192,0.018353981897234917,-0.10194186121225357,-0.030226655304431915,-0.03746234253048897,0.1574893593788147
Tan,-0.08747076988220215,-0.03746253252029419,-0.11954192817211151,0.11241768300533295,-0.0545475147664547,0.08893617987632751,-0.15848132967948914,0.03990120068192482,0.044231925159692764,-0.04024752229452133,-0.06945328414440155,0.09119085222482681,0.07561402022838593,-0.11573146283626556,0.07148159295320511,-0.031995512545108795,0.04202434793114662,0.07194417715072632,-0.003571793669834733,-0.0670148953795433,0.07634253054857254,0.046384043991565704,-0.03528253734111786,-0.11404501646757126,0.017989786341786385,-0.05480527505278587,-0.09245732426643372,0.13837459683418274,0.14438693225383759,-0.10007011145353317,-0.07177914679050446,0.00398184172809124,0.01719076558947563,0.10932070761919022,0.17099833488464355,-0.17554621398448944,0.09259697049856186,0.07893140614032745,0.07405395805835724,-0.05946250259876251,0.08140556514263153,-0.04815753176808357,-0.06519654393196106,0.0828733816742897,-0.025066545233130455,0.12348322570323944,0.006440906319767237,-0.09396248310804367,-0.13388992846012115,-0.052085909992456436,0.08996815234422684,-0.059395939111709595,0.1004132628440857,0.13283008337020874,0.04744382202625275,-0.11292549222707748,-0.08557772636413574,-0.07559376955032349,0.02396337315440178,-0.01828206330537796,0.08888529986143112,0.0494997613132,0.08865785598754883,0.09563957899808884,-0.19272106885910034,-0.1641191840171814,-0.024721777066588402,0.017784150317311287,0.07267368584871292,0.13984599709510803,-0.004414733033627272,-0.002795620122924447,-0.10483279824256897,0.05742652341723442,-0.06677254289388657,0.02090803161263466,0.10223451256752014,-0.04337561875581741,-0.13505542278289795,0.026066849008202553,-0.1397067904472351,0.05026031285524368,0.09986162185668945,0.09722360968589783,0.035882048308849335,0.11479553580284119,0.02356654405593872,0.10023782402276993,0.03745190426707268,-0.08477482199668884,-0.028974533081054688,0.018906528130173683,-0.01862383261322975,0.14650164544582367,-0.055041659623384476,-0.024946630001068115,0.1105504259467125,0.007489310577511787,-0.01871461793780327,-0.07893318682909012,-0.08304296433925629,-0.1590239703655243,-0.08079064637422562,-0.01072361133992672,0.19610562920570374,0.07089120149612427,0.17834541201591492,-0.0037945518270134926,-0.05107356980443001,0.16067621111869812,0.08318246901035309,0.023587411269545555,0.08079514652490616,0.09772682189941406,-0.11848144978284836,0.04360223188996315,-0.008824876509606838,0.035968370735645294,0.046177636831998825,-0.023732852190732956,-0.018464401364326477,0.059429481625556946,-0.11617834866046906,0.011388113722205162,-0.20335058867931366,-0.12338326871395111,0.07176021486520767,0.014442933723330498
Vik,-0.07723698765039444,0.03292696550488472,-0.05848650634288788,0.05596479773521423,0.08445308357477188,0.1881231963634491,-0.09679798036813736,0.0507822260260582,0.07373326271772385,-0.0796935185790062,-0.00011300660116830841,-0.056212201714515686,0.07430718094110489,-0.1445840448141098,0.06773903220891953,-0.11960288137197495,-0.18443946540355682,-0.020770363509655,-0.06195361912250519,-0.05161624774336815,0.02201877534389496,-0.1526656448841095,-0.18840031325817108,-0.056825120002031326,0.11850371956825256,0.061437059193849564,-0.13687776029109955,0.16637027263641357,-0.014627928845584393,0.09801533818244934,-0.14643079042434692,-0.09932956099510193,0.14774025976657867,0.14900022745132446,0.08291631191968918,-0.06516555696725845,0.171853706240654,0.037651944905519485,-0.0625513419508934,-0.12656401097774506,-0.06217723339796066,-0.13273702561855316,-0.10283888876438141,0.04410179331898689,-0.11765983700752258,-0.03661489859223366,-0.06253986060619354,0.09476057440042496,-0.12583427131175995,-0.15502682328224182,0.0039840093813836575,-0.12474846094846725,0.06604661047458649,-0.018257522955536842,0.017715634778141975,-0.05938166007399559,-0.09607396274805069,-0.11237026751041412,0.006748605985194445,-0.039400581270456314,-0.04477642476558685,-0.15155209600925446,0.020917680114507675,0.13231630623340607,-0.002100680023431778,0.024982845410704613,-0.10515452921390533,0.048552315682172775,0.03872469440102577,0.04489879682660103,-0.06113715469837189,0.0850858986377716,-0.1292000263929367,-0.08971607685089111,0.06827512383460999,-0.07492826133966446,-0.0851554200053215,0.11050484329462051,-0.11304181069135666,0.07323987782001495,0.001938079483807087,-0.107660211622715,-0.05075528845191002,0.12495897710323334,0.007800607942044735,-0.11484074592590332,0.033353932201862335,0.06120477616786957,0.0014844617107883096,-0.05986224114894867,-0.08027282357215881,-0.0020386800169944763,0.10059533268213272,0.04534628614783287,-0.03348654881119728,0.014887562021613121,0.08412469178438187,0.16612254083156586,0.12711094319820404,-0.10764111578464508,0.03188996762037277,0.05658802017569542,-0.08304194360971451,0.08100158721208572,0.07344581931829453,0.06453173607587814,0.13511383533477783,-0.0065031880512833595,-0.06401541829109192,0.06350540369749069,-0.04740066081285477,-0.06865057349205017,0.07204340398311615,-0.04104496166110039,-0.03666766732931137,-0.1261417269706726,0.06366003304719925,0.03096703067421913,0.13146363198757172,-0.008982628583908081,-0.09461495280265808,-0.02150025963783264,-0.04632575809955597,-0.06280628591775894,-0.025579877197742462,0.03846483305096626,0.062156349420547485,0.0266181081533432
